run_date,run_id,condition,prompt_id,cost_usd,quality_score,critical_pass,turns,measurable,invalid_reason,reconcile_observed,reconcile_opening,reconcile_output,reconcile_tool_result,reconcile_discarded,model,duration_seconds,terminal_reason,changed_files,tool_calls,first_turn_cache_read_tokens,washout_gap_seconds,aux_model_tokens,processed_tokens,context_tax_tokens
2026-09-16,50c8457f1b90-base__r1,BASE,small,1.5296602000000004,100,pass,35,1,,2803293,1006128,3462,1793703,0,claude-sonnet-5,570.5,succeeded,0,47,16680,,1858,2833079,1793703
2026-09-16,50c8457f1b90-be-brief__r1,BE_BRIEF,small,1.4651497999999998,100,pass,36,1,,2669790,1037295,4836,1627659,0,claude-sonnet-5,572.5,succeeded,0,46,22046,1,1886,2699665,1627659
2026-09-16,50c8457f1b90-caveman-full__r1,CAVEMAN-FULL,small,1.4166582000000003,100,pass,36,1,,2701562,1062705,4461,1634396,0,claude-sonnet-5,536.3,succeeded,0,47,16680,1,1872,2732163,1634396
2026-09-16,50c8457f1b90-rtk__r1,RTK,small,1.7085520000000005,100,pass,34,1,,2983312,976602,5603,2001107,0,claude-sonnet-5,678.7,succeeded,0,44,22046,0,1858,3013204,2001107
